"","settings","features","rm","train.AUC","avg.test.AUC","var.test.AUC","avg.diff.AUC","var.diff.AUC","avg.test.orMTP","var.test.orMTP","avg.test.or10pct","var.test.or10pct","AICc","delta.AICc","w.AIC","parameters"
"1","L_0.5","L",0.5,0.769016938906047,0.767838371689395,0.000810882000488919,0.0106027995924037,0.000346514310090595,0.000202608119059898,1.6420019963596e-07,0.0966558488984027,0.00198423908787952,1301261.52567709,35120.9163444028,0,5
"2","LQ_0.5","LQ",0.5,0.82235864899735,0.819379977934697,0.000123087928849086,0.00608361580916314,4.47144159261391e-05,0.000110513519487217,4.88529519578062e-08,0.0978242033268009,0.00048058713994494,1266140.60933269,0,1,10
"3","L_1","L",1,0.769112802149427,0.768029236266018,0.000864996607748282,0.0107872348616126,0.000361416420461111,0.000202608119059898,1.6420019963596e-07,0.0970058083767789,0.00204118385496956,1301284.45795214,35143.8486194501,0,5
"4","LQ_1","LQ",1,0.817207346612775,0.815078154200763,0.000174423468050358,0.00617559418870722,5.10489919757441e-05,0.000110513519487217,4.88529519578062e-08,0.0988707414390875,0.000443837477801975,1269126.40625029,2985.79691760312,0,9
"5","L_1.5","L",1.5,0.769112336216802,0.768164185983181,0.00091465148309575,0.0109452990022454,0.000374817602746026,0.000202608119059898,1.6420019963596e-07,0.0976437669094743,0.00203162596266858,1301337.06010478,35196.4507720848,0,5
"6","LQ_1.5","LQ",1.5,0.814763618684527,0.812679526543115,0.000174648364455723,0.00613894576170587,5.48245272028593e-05,0.000184107867441294,4.88290097428908e-08,0.102978979877668,0.000428810591786752,1270384.08581982,4243.47648713086,0,8
"7","L_2","L",2,0.76903406619794,0.768223400170855,0.000962251163950534,0.0110930589638623,0.000387690251597368,0.000202608119059898,1.6420019963596e-07,0.0990911224192378,0.00185515297596499,1301417.427107,35276.8177743051,0,5
"8","LQ_2","LQ",2,0.813328767090901,0.811528736234435,0.00017689235621339,0.00599015976059336,6.0554709727339e-05,0.000110513519487217,4.88529519578062e-08,0.100892403405819,0.000400058868170201,1271244.12296734,5103.51363465167,0,5
"9","L_2.5","L",2.5,0.768923385131214,0.768209331130475,0.00100631149079108,0.0112039822011103,0.000399159516107245,0.000202608119059898,1.6420019963596e-07,0.0996062828549163,0.00179638459924672,1301523.29042533,35382.6810926418,0,5
"10","LQ_2.5","LQ",2.5,0.812838540180938,0.810967495693215,0.000195370015197308,0.00594434015913262,7.18582398339116e-05,0.000110513519487217,4.88529519578062e-08,0.103371750097146,0.000244863350667402,1271841.45742534,5700.84809264494,0,5
"11","L_3","L",3,0.768746419215132,0.76815171169746,0.00104634489852532,0.0112956546831929,0.00040985228808162,0.000202608119059898,1.6420019963596e-07,0.100960216832018,0.00198920060945406,1301652.94052448,35512.3311917845,0,5
"12","LQ_3","LQ",3,0.812285546441948,0.810396609426707,0.000213757626268088,0.00600227486506513,8.44260473448403e-05,0.000110513519487217,4.88529519578062e-08,0.101999267741937,0.00020537109563624,1272523.25801594,6382.6486832439,0,5
