"","settings","features","rm","train.AUC","avg.test.AUC","var.test.AUC","avg.diff.AUC","var.diff.AUC","avg.test.orMTP","var.test.orMTP","avg.test.or10pct","var.test.or10pct","AICc","delta.AICc","w.AIC","parameters"
"1","L_0.5","L",0.5,0.841307690670404,0.817066585324816,0.00657708925977378,0.0416867530530982,0.0065851427141652,0.00803124911705705,0.000258003849520918,0.12049627913178,0.00708576948288738,3807925.30582902,308404.90314156,0,5
"2","LQ_0.5","LQ",0.5,0.896489645284609,0.876278118533336,0.00547315154536558,0.034257662850282,0.00445792971071816,0.000394504596769819,3.6267011139236e-07,0.140633199623134,0.00782190123643888,3499520.40268746,0,1,10
"3","L_1","L",1,0.841396784294935,0.817216670476728,0.00621684363891535,0.0414735940577321,0.00625683699112591,0.00803124911705705,0.000258003849520918,0.120403206521096,0.00707089561755387,3808084.74379253,308564.341105069,0,5
"4","LQ_1","LQ",1,0.898612242715099,0.878888493131212,0.00554179060454399,0.0337298042890758,0.00441263137360131,0.000394504596769819,3.6267011139236e-07,0.145991839480013,0.00839469427104655,3513468.3239738,13947.9212863357,0,10
"5","L_1.5","L",1.5,0.841413308578594,0.817357399362505,0.00586438739944467,0.0412073937791538,0.00593034333569029,0.00803124911705705,0.000258003849520918,0.128483824770578,0.00945847100876982,3808432.77781303,308912.375125573,0,5
"6","LQ_1.5","LQ",1.5,0.899768761870827,0.880538480186392,0.0056906003427135,0.0333024268826903,0.00443100234736609,0.000394504596769819,3.6267011139236e-07,0.142298282537348,0.00762605028190208,3532235.85164215,32715.4489546907,0,10
"7","L_2","L",2,0.841425295885462,0.817514944387049,0.00551343446669118,0.0408323652693199,0.00559475218983677,0.00803124911705705,0.000258003849520918,0.128243033375501,0.00939276148387728,3808954.62833866,309434.225651199,0,5
"8","LQ_2","LQ",2,0.89973171090464,0.877856619908842,0.0072550094764348,0.035867032745258,0.00562491292926405,0.000394504596769819,3.6267011139236e-07,0.14458542756198,0.00762474848239381,3555381.28380801,55860.88112055,0,10
"9","L_2.5","L",2.5,0.841381988561394,0.817510934006135,0.00515565966448336,0.040439133602993,0.00525247192423913,0.00803124911705705,0.000258003849520918,0.125906071744205,0.00864656663362014,3809634.0659425,310113.663255034,0,5
"10","LQ_2.5","LQ",2.5,0.898687530038399,0.870627746734671,0.0101523287185957,0.0403934533983823,0.00796810431519491,0.000693713829511858,4.06002990657465e-07,0.129331572228592,0.00994887090346499,3579912.22267405,80391.8199865855,0,9
"11","L_3","L",3,0.841309902569431,0.81749215205151,0.00482791438462917,0.0400171831601053,0.00490405496313898,0.00803124911705705,0.000258003849520918,0.126635681958733,0.00858452195228145,3810455.54973021,310935.147042749,0,5
"12","LQ_3","LQ",3,0.891131692952639,0.866605642566284,0.00929537991979641,0.0397810148337362,0.00775902516019472,0.000617068696477806,5.0862591787341e-07,0.124371505510527,0.0090318839094487,3613502.11365518,113981.710967719,0,8
